债券募集说明书名称,公告发布日,半透明小字
17英唐01：深圳市英唐智能控制股份有限公司2017年面向合格投资者公开发行公司债券（第一期）募集说明书,2017-11-24,公告编号：2017-098 深圳市英唐智能控制股份有限公司 （住所：深圳市南山区高新技术产业园科技南五路英唐大厦五楼） 2017年面向合格投资者公开发行公司债券 （第一期） 募集说明书 主承销商 （住
香雪制药：2017年面向合格投资者公开发行公司债券（第二期）募集说明书（摘要）,2017-11-21,股票简称：香雪制药 股票代码：300147 广州市香雪制药股份有限公司 （广州经济技术开发区科学城金峰园路2号） 2017年面向合格投资者 公开发行公司债券（第二期） 募集说明书（摘要） 主承销商/债
17四维01：北京四维图新科技股份有限公司2017年公开发行公司债券（第一期）募集说明书,2017-11-21,股票简称：四维图新 股票代码：002405 北京四维图新科技股份有限公司 （住所：北京市海淀区学院路7号弘彧大厦10层1002A室） 2017 年公开发行公司债券 （第一期）募集说明书 （面向合格投资
游族网络：2017年面向合格投资者公开发行公司债券（第一期）募集说明书,2017-04-05,游族网络股份有限公司 2017 年面向合格投资者公开发行公司债券（第一期）募集说明书 2 声 明 本《募集说明书》及其摘要全部依据《中华人民共和国公司法》、《中华人 民共和国证券法》、《公司债券发行与
金洲慈航：2017年面向合格投资者公开发行债券（第一期）募集说明书,2017-03-30,证证券券代代码码：：000000558877 证证券券简简称称：：金金洲洲慈慈航航 金金洲洲慈慈航航集集团团股股份份有有限限公公司司 JJIINNZZHHOOUU CCIIHHAANNGG GGRRO
17制药02：广州市香雪制药股份有限公司2017年面向合格投资者公开发行公司债券（第二期）募集说明书,2017-11-21,股票简称：香雪制药 股票代码：300147 广州市香雪制药股份有限公司 （广州经济技术开发区科学城金峰园路2号） 2017年面向合格投资者 公开发行公司债券（第二期） 募集说明书 主承销商/债券受托管
17深能01：深圳能源集团股份有限公司2017年面向合格投资者公开发行公司债券（第一期）募集说明书（更新后）,2017-11-17,深圳能源集团股份有限公司 2017 年面向合格投资者公开发行公司债券（第一期）募集说明书 深圳能源集团股份有限公司 2017 年面向合格投资者公开发行公司债券 （第一期） 募集说明书 发行人 （住所：
17深能01：深圳能源集团股份有限公司2017年面向合格投资者公开发行公司债券（第一期）募集说明书,2017-11-16,深圳能源集团股份有限公司 2017 年面向合格投资者公开发行公司债券（第一期）募集说明书 深圳能源集团股份有限公司 2017 年面向合格投资者公开发行公司债券 （第一期） 募集说明书 发行人 （住所：
17深能02：深圳能源集团股份有限公司2017年面向合格投资者公开发行公司债券（第一期）募集说明书（更新后）,2017-11-17,深圳能源集团股份有限公司 2017 年面向合格投资者公开发行公司债券（第一期）募集说明书 深圳能源集团股份有限公司 2017 年面向合格投资者公开发行公司债券 （第一期） 募集说明书 发行人 （住所：
17深能02：深圳能源集团股份有限公司2017年面向合格投资者公开发行公司债券（第一期）募集说明书,2017-11-16,深圳能源集团股份有限公司 2017 年面向合格投资者公开发行公司债券（第一期）募集说明书 深圳能源集团股份有限公司 2017 年面向合格投资者公开发行公司债券 （第一期） 募集说明书 发行人 （住所：
华茂股份：2017年公开发行公司债券（第一期）募集说明书,2017-03-29,（第一期） 1 声 明 本募集说明书及其摘要的全部内容依据《中华人民共和国公司法》、《中华人 民共和国证券法》、《公司债券发行与交易管理办法》、《公开发行证券的公司信息 披露内容与格式准则第 23 号
17蛇口01：招商局蛇口工业区控股股份有限公司2017年面向合格投资者公开发行公司债券（第一期）募集说明书,2017-11-15,招商蛇口 2017年面向合格投资者公开发行公司债券（第一期）募集说明书 2 声 明 本募集说明书及其摘要的全部内容依据《公司法》、《证券法》、《公司债券发 行与交易管理办法》、《公开发行证券的公司信息
17蛇口02：招商局蛇口工业区控股股份有限公司2017年面向合格投资者公开发行公司债券（第一期）募集说明书,2017-11-15,招商蛇口 2017年面向合格投资者公开发行公司债券（第一期）募集说明书 2 声 明 本募集说明书及其摘要的全部内容依据《公司法》、《证券法》、《公司债券发 行与交易管理办法》、《公开发行证券的公司信息
18万维S2：北京昆仑万维科技股份有限公司2018年面向合格投资者公开发行创新创业公司债券（第二期）募集说明书,2018-04-19,北京昆仑万维科技股份有限公司 （住所：北京市海淀区知春路 118号 B座 605E） 2018 年面向合格投资者公开发行创新创业 公司债券（第二期） 募集说明书 主承销商、债券受托管理人 海通证券股份
招商蛇口：2017年面向合格投资者公开发行公司债券（第一期）募集说明书,2017-11-15,招商蛇口 2017年面向合格投资者公开发行公司债券（第一期）募集说明书 2 声 明 本募集说明书及其摘要的全部内容依据《公司法》、《证券法》、《公司债券发 行与交易管理办法》、《公开发行证券的公司信息
17正邦01：江西正邦科技股份有限公司2017年面向合格投资者公开发行公司债券（第一期）募集说明书,2017-11-15,江西正邦科技股份有限公司 （住所：江西省南昌市高新技术开发区艾溪湖一路 569号） 2017 年面向合格投资者公开发行公司债券 （第一期） 募集说明书 牵头主承销商、受托管理人 （住所：深圳市福田区金
盛运环保：2017年公开发行公司债券（第一期）募集说明书（面向合格投资者）,2017-03-21,安徽盛运环保（集团）股份有限公司 2017 年面向合格投资者公开发行公司债券（第一期）募集说明书 安徽盛运环保（集团）股份有限公司 Anhui Shengyun Environment-Protect
华昌达：2017年面向合格投资者公开发行公司债券（第一期）募集说明书,2017-03-20,股票简称：华昌达 股票代码：300278 湖北华昌达智能装备股份有限公司 （住址：十堰市东益大道 9号） 2017 年公开发行公司债券募集说明书 （面向合格投资者） 主承销商/债券受托管理人 （住所：
温氏股份：2017年面向合格投资者公开发行公司债券（第一期）募集说明书,2017-03-16,广东温氏食品集团股份有限公司 （住所：云浮市新兴县新城镇东堤北路 9 号） 2017年面向合格投资者公开发行 公司债券（第一期） 募集说明书 独家主承销商/债券受托管理人/独家簿记管理人 （住所：北京
科陆电子：2017年面向合格投资者公开发行公司债券（第一期）募集说明书,2017-03-20,深圳市科陆电子科技股份有限公司 公开发行公司债券募集说明书 股票简称：科陆电子 股票代码：002121 深圳市科陆电子科技股份有限公司 （住所：广东省深圳市南山区科技园北区宝深路科陆大厦 A座 13-
18万维S2：北京昆仑万维科技股份有限公司2018年面向合格投资者公开发行创新创业公司债券（第二期）募集说明书,2018-04-11,北京昆仑万维科技股份有限公司 （住所：北京市海淀区知春路 118号 B座 605E） 2018 年面向合格投资者公开发行创新创业 公司债券（第二期） 募集说明书 主承销商、债券受托管理人 海通证券股份
香雪制药：2017年面向合格投资者公开发行公司债券（第一期）募集说明书（摘要）,2017-10-31,股票简称：香雪制药 股票代码：300147 广州市香雪制药股份有限公司 （广州经济技术开发区科学城金峰园路2号） 2017年面向合格投资者 公开发行公司债券（第一期） 募集说明书（摘要） 主承销商/债
山东路桥：2017年面向合格投资者公开发行公司债券（第一期）募集说明书,2017-03-08,"山东高速路桥集团股份有限公司 2017 年面向合格投资者公开发行公司债券（第一期）募集说明书 山东高速路桥集团股份有限公司 Shandong Hi-Speed Road&Bridge Co.,LTD "
科伦药业：2017年面向合格投资者公开发行公司债券（第一期）募集说明书,2017-03-09,四川科伦药业股份有限公司 2017 年面向合格投资者公开发行公司债券（第一期） 募集说明书 1-1 股票简称：科伦药业 股票代码：002422 四川科伦药业股份有限公司 Sichuan Kelun P
东江环保：2017年面向合格投资者公开发行绿色公司债券（第一期）募集说明书,2017-03-08,东江环保股份有限公司 2017 年面向合格投资者公开发行绿色公司债券（第一期）募集说明书 1 声 明 本募集说明书依据《中华人民共和国公司法》、《中华人民共和国证券法》、 《公司债券发行与交易管理办法
欧菲光：2017年面向合格投资者公开发行公司债券（第一期）募集说明书,2017-02-16,深圳欧菲光科技股份有限公司 2017年面向合格投资者公开发行公司债券（第一期）募集说 明书 1 深圳欧菲光科技股份有限公司 （注册地址：深圳市光明新区公明街道松白公路华发路段欧菲光科技园） 2017年
欧菲光：2017年面向合格投资者公开发行公司债券（第一期）募集说明书（摘要）,2017-02-16,深圳欧菲光科技股份有限公司 2017年面向合格投资者公开发行公司债券（第一期）募集说明书（摘 要） 1 深圳欧菲光科技股份有限公司 （注册地址：深圳市光明新区公明街道松白公路华发路段欧菲光科技园） 2
昆仑万维：2017年面向合格投资者公开发行创新创业公司债券（第一期）募集说明书,2017-09-18,北京昆仑万维科技股份有限公司 （住所：北京市海淀区知春路 118号 B座 605E） 2017 年面向合格投资者公开发行创新创业 公司债券（第一期） 募集说明书 主承销商、债券受托管理人 海通证券股份
天神娱乐：2017年面向合格投资者公开发行公司债券（第一期）募集说明书,2017-01-17,大连天神娱乐股份有限公司 （住所：辽宁省大连市中山区致富街 31号 905 单元） 2017 年面向合格投资者公开发行公司债券 （第一期）募集说明书 主承销商/簿记管理人/债券受托管理人 （住所：上海
广发证券：2017年面向合格投资者公开发行公司债券（第二期）募集说明书,2017-07-20,广发证券股份有限公司 （住所：广东省广州市黄埔区中新广州知识城腾飞一街 2 号 618 室） 2017 年面向合格投资者公开发行公司债券 （第二期）募集说明书 主承销商/簿记管理人/债券受托管理人 （
18万维S1：北京昆仑万维科技股份有限公司2018年面向合格投资者公开发行创新创业公司债券（第一期）募集说明书,2018-01-29,北京昆仑万维科技股份有限公司 （住所：北京市海淀区知春路 118号 B座 605E） 2018 年面向合格投资者公开发行创新创业 公司债券（第一期） 募集说明书 主承销商、债券受托管理人 海通证券股份
17深能02：深圳能源关于《深圳能源集团股份有限公司2017年面向合格投资者公开发行公司债券（第一期）募集说明书》及其摘要更新说明,2017-11-17,深圳能源集团股份有限公司 关于《深圳能源集团股份有限公司2017年面向合格投 资者公开发行公司债券（第一期）募集说明书》 及其摘要更新说明 深圳能源集团股份有限公司于 2017 年 11 月 16 日
17深能01：深圳能源关于《深圳能源集团股份有限公司2017年面向合格投资者公开发行公司债券（第一期）募集说明书》及其摘要更新说明,2017-11-17,深圳能源集团股份有限公司 关于《深圳能源集团股份有限公司2017年面向合格投 资者公开发行公司债券（第一期）募集说明书》 及其摘要更新说明 深圳能源集团股份有限公司于 2017 年 11 月 16 日
凯迪生态：2016年面向合格投资者公开发行公司债券（第二期）募集说明书,2016-12-13,股票代码：000939 股票简称：凯迪生态 凯迪生态环境科技股份有限公司 K a i d i E c o l o g i c a l a n d E n v i r o n m e n t a l T
宝新能源：2016年公开发行公司债券（第二期）募集说明书,2016-12-08,"股票简称：宝新能源 股票代码：000690 广东宝丽华新能源股份有限公司 GUANGDONG BAOLIHUA NEW ENERGY STOCK CO.,LTD. （广东省梅县华侨城香港花园香港大道宝"
捷成股份：2016年面向合格投资者公开发行公司债券（第一期）募集说明书,2016-12-07,北京捷成世纪科技股份有限公司 2016 年面向合格投资者公开发行公司债券（第一期） 募集说明书 1-1-1 发行人声明 本募集说明书及其摘要的全部内容依据《中华人民共和国公司法》、《中华人 民共和国证
合力泰：2016年面向合格投资者公开发行公司债券（第一期）募集说明书,2016-12-01,合力泰科技股份有限公司 2016 年面向合格投资者公开发行公司债券（第一期） 募集说明书 1 声 明 本募集说明书依据《中华人民共和国公司法》、《中华人民共和国证券法》、 《公司债券发行与交易管理办法
宝新能源：2016年公开发行公司债券（第一期）募集说明书（面向合格投资者）,2016-11-24,"股票简称：宝新能源 股票代码：000690 广东宝丽华新能源股份有限公司 GUANGDONG BAOLIHUA NEW ENERGY STOCK CO.,LTD. （广东省梅县华侨城香港花园香港大道宝"
广联达：2016年面向合格投资者公开发行公司债券（第一期）募集说明书,2016-11-18,股票简称：广联达 股票代码：002410 广联达科技股份有限公司 2016年面向合格投资者公开发行公司债券（第一期） 募集说明书 主承销商 （住所：成都市青羊区东城根上街 95号） 募集说明书签署日期
宝鹰股份：2017年面向合格投资者公开发行公司债券（第一期）募集说明书（发行稿）,2017-07-10,声 明 本募集说明书依据《中华人民共和国公司法》、《中华人民共和国证券法》、 《公司债券发行与交易管理办法》、《公开发行公司债券备案管理办法》及其他现 行法律、法规的规定并结合发行人的实际情况编制。 
浙富控股：2016年面向合格投资者公开发行公司债券（第一期）募集说明书,2016-11-09,股票简称：浙富控股 股票代码：002266 浙富控股集团股份有限公司 （住所：浙江省桐庐县县城迎春南路 177号浙富大厦 25F） 2016年面向合格投资者公开发行公司债券（第一期） 募集说明书 主承
16万丰01：2016年面向合格投资者公开发行公司债券（第一期）募集说明书,2016-11-08,万丰奥特控股集团有限公司 2016 年面向合格投资者 公开发行公司债券（第一期） 募集说明书 发行人 万丰奥特控股集团有限公司 （住所：浙江省绍兴市新昌县城关镇新昌工业区（后溪）） 主承销商 （住所：
湖北能源：公开发行2016年公司债券（第一期）募集说明书,2016-11-09,股票简称：湖北能源 股票代码：000883 （注册地址：湖北省武汉市武昌区徐东大街 96号） 公开发行 2016年公司债券（第一期） 募集说明书 联席保荐机构/联席主承销商 （注册地址：深圳市福田区益
16万集01：2016年面向合格投资者公开发行公司债券（第一期）募集说明书,2016-09-05,（住所：东营市垦利县永莘路北） 万达集团股份有限公司 2016年面向合格投资者公开发行公司债券 （第一期） 募集说明书 主承销商 （住所：广西壮族自治区桂林市辅星路13号） 签署日： 年 月 日 20
景峰医药：2016年面向合格投资者公开发行公司债券（第一期）募集说明书,2016-10-25,股票简称：景峰医药 股票代码：000908 （住所：湖南省平江县天岳开发区天岳大道 48 号） 湖南景峰医药股份有限公司 2016年面向合格投资者公开发行公司债券(第一期) 募集说明书 主承销商/债券
天广中茂：2016年面向合格投资者公开发行公司债券（第一期）募集说明书（摘要）,2016-10-25,1-2-1 声 明 本募集说明书摘要的目的仅为向公众提供有关本次发行的简要情况，并不包 括募集说明书全文的各部分内容。募集说明书全文同时刊载于深圳证券交易所网 站。投资者在做出认购决定之前，应仔细阅读
广发证券：2017年面向合格投资者公开发行公司债券（第一期）募集说明书,2017-05-05,广发证券股份有限公司 公司债券募集说明书 声明 本募集说明书及其摘要依据《中华人民共和国公司法》、《中华人民共和国证券法》、 《公司债券发行与交易管理办法》、《公开发行证券的公司信息披露内容与格式准则
双星新材：2016年面向合格投资者公开发行公司债券（第一期）募集说明书,2016-10-24,江苏双星彩塑新材料股份有限公司 （住所：宿迁市宿豫区彩塑工业园区井头街 1 号） 2016年面向合格投资者 公开发行公司债券（第一期） 募集说明书 主承销商/债券受托管理人 （住所：上海市静安区新闸路
天广中茂：2016年面向合格投资者公开发行公司债券（第一期）募集说明书,2016-10-25,天广中茂股份有限公司 2016 年面向合格投资者公开发行公司债券（第一期）募集说明书 天广中茂股份有限公司 （注册地址：福建省南安市成功科技工业区） 2016年面向合格投资者公开发行公司债券 （第一期
天保基建：2016年面向合格投资者公开发行公司债券（第一期）募集说明书,2016-10-20,"股票代码：000965 股票简称：天保基建 天津天保基建股份有限公司 TianJin Tianbao Infrastructure Co.,Ltd. （天津空港经济区西五道35号汇津广场1号楼） 20"
东方园林：2016年面向合格投资者公开发行公司债券（第三期）募集说明书,2016-10-20,北京东方园林生态股份有限公司 （住所：北京市朝阳区酒仙桥北路甲10号院104号楼6层601号） 2016年面向合格投资者公开发行公司债券 （第三期） 募集说明书 主承销商/债券受托管理人 （住所：深圳
徐工机械：2016年面向合格投资者公开发行公司债券（第二期）募集说明书,2016-10-20,10 20 声 明 本募集说明书依据《中华人民共和国公司法》、《中华人民共和国证券法》、《公 司债券发行与交易管理办法》、《公开发行证券的公司信息披露内容与格式准则第23 号——公开发行公司债券募集说
盐 田 港：2016年面向合格投资者公开发行公司债券（第一期）募集说明书,2016-10-17,深圳市盐田港股份有限公司 公司债券募集说明书 1-1-1 声 明 本募集说明书及其摘要依据《中华人民共和国公司法》、《中华人民共和国证券法》、 《公司债券发行与交易管理办法》、《公开发行证券的公司信息
金 融 街：2016年面向合格投资者公开发行公司债券（第一期）募集说明书（更新后）,2016-10-12,金融街控股股份有限公司 （住所：北京市西城区金城坊街7号） 2016年面向合格投资者公开发行公司债券 （第一期） 募集说明书 主承销商 （住所：北京市朝阳区安立路66号4号楼） 签署日： 年 月 日 
金 融 街：2016年面向合格投资者公开发行公司债券（第一期）募集说明书（已取消）,2016-10-11,金融街控股股份有限公司 （住所：北京市西城区金城坊街7号） 2016年面向合格投资者公开发行公司债券 （第一期） 募集说明书 主承销商 （住所：北京市朝阳区安立路66号4号楼） 签署日： 年 月 日 
16魏桥05：2016年面向合格投资者公开发行公司债券（第三期）募集说明书,2016-10-12,山东魏桥铝电有限公司 （山东省邹平县经济开发区工业六路） 2016年面向合格投资者 公开发行公司债券（第三期） 募集说明书 发行人 山东魏桥铝电有限公司 主承销商 广州市天河区天河北路 183-187
迪安诊断：2016年面向合格投资者公开发行公司债券（第一期）募集说明书,2016-09-23,股票简称：迪安诊断 股票代码：300244 浙江迪安诊断技术股份有限公司 （住所：杭州市西湖区古墩路702号赞宇大厦5-6层） 2016 年面向合格投资者 公开发行公司债券（第一期） 募集说明书 主承
利亚德：2016年面向合格投资者公开发行公司债券（第一期）募集说明书,2016-09-21,股票简称：利亚德 股票代码：300296 利亚德光电股份有限公司 （住所：北京市海淀区颐和园北正红旗西街9号） 2016 年面向合格投资者公开发行公司 债券（第一期） 募集说明书 主承销商 （住所：北
棕榈股份：2016年面向合格投资者公开发行公司债券（第二期）募集说明书,2016-09-20,股票简称：棕榈股份 股票代码：002431 （住所：中山市小榄镇绩西祥中路 21 号） 2016年面向合格投资者 公开发行公司债券（第二期） 募集说明书 主承销商/债券受托管理人 摩根士丹利华鑫证券有
阳 光 城：2016年面向合格投资者公开发行公司债券（第二期）募集说明书,2016-09-22,阳光城集团股份有限公司 2016 年面向合格投资者公开发行公司债券（第二期）募集说明书 2 声明 本募集说明书依据《中华人民共和国公司法》、《中华人民共和国证券法》、《公司债 券发行与交易管理办法》、
格林美：2016年面向合格投资者公开发行公司债券（第一期）募集说明书,2016-09-20,格林美股份有限公司 公司债券募集说明书 0 格林美股份有限公司 公司债券募集说明书 1 声明 本募集说明书依据《中华人民共和国公司法》、《中华人民共和国证券法》、 《公司债券发行与交易管理办法》、《公
申万宏源：2016年面向合格投资者公开发行公司债券（第二期）募集说明书,2016-09-07,申万宏源集团股份有限公司 2016 年面向合格投资者公开发行公司债券（第二期） 0 股票简称：申万宏源 股票代码：000166 申万宏源集团股份有限公司 2016 年面向合格投资者公开发行公司债券（第
凯迪生态：2016年面向合格投资者公开发行公司债券（第一期）募集说明书,2016-09-05,票代码：000939 股票简称：凯迪生态 凯迪生态环境科技股份有限公司 K a id i E c o l o g i c a l a n d E n v i r o n m e n t a l Te 
阳普医疗：2017年面向合格投资者公开发行创新创业公司债券（第一期）募集说明书,2017-04-26,广州阳普医疗科技股份有限公司 （住所：广州开发区科学城开源大道 102 号） 2017 年面向合格投资者公开发行创新创业 公司债券（第一期）募集说明书 主承销商、受托管理人 （住所：北京市朝阳区安立路
16胜通03：2016年面向合格投资者公开发行公司债券（第二期）募集说明书,2016-09-05,（住所：东营市垦利县胜坨镇） 山东胜通集团股份有限公司 2016年面向合格投资者公开发行公司债券 （第二期） 募集说明书 主承销商 （住所：广西壮族自治区桂林市辅星路13号） 签署日： 年 月 日 山
阳 光 城：2016年面向合格投资者公开发行公司债券（第一期）募集说明书,2016-08-25,阳光城集团股份有限公司 2016 年面向合格投资者公开发行公司债券（第一期）募集说明书 2 声明 本募集说明书依据《中华人民共和国公司法》、《中华人民共和国证券法》、《公司债 券发行与交易管理办法》、
16正商03：2016年面向合格投资者公开发行公司债券（第一期）募集说明书,2016-08-23,河南宏光正商置业有限公司 （住所：郑州市郑东新区商鼎路北、康平路东A号楼11层1104号） 2016年面向合格投资者公开发行公司债券 （第一期） 募集说明书 主承销商 （住所：北京市朝阳区安立路66号
广宇集团：2016年面向合格投资者公开发行公司债券（第一期）募集说明书,2016-08-26,股票简称：广宇集团 股票代码：002133 广宇集团股份有限公司 （浙江省杭州市平海路 8号） 2016 年面向合格投资者 公开发行公司债券（第一期） 募集说明书 主承销商（债券受托管理人） 住所：深
铁汉生态：2016年面向合格投资者公开发行公司债券（第二期）募集说明书,2016-08-25,"深圳市铁汉生态环境股份有限公司 Shenzhen Techand Ecology&Environment Co.,Ltd （地址：深圳市龙岗区龙城街道龙岗天安数码创新园三号厂房 B1401） 深圳市铁"
16绿景01：2016年面向合格投资者公开发行公司债券（第一期）募集说明书,2016-08-23,0 正兴隆房地产（深圳）有限公司 （住所：深圳市福田区深南大道和泰然大道交汇处绿景纪元大厦 55层 A1单元） 2016年面向合格投资者公开发行公司债券 （第一期） 募集说明书 牵头主承销商/簿记管理
惠博普：2016年面向合格投资者公开发行公司债券（第一期）募集说明书,2016-08-19,0 华油惠博普科技股份有限公司 （住所：北京市海淀区马甸东路 1 号 11 层 1212） 2016 年面向合格投资者公开发行公司债券 （第一期） 募集说明书 主承销商/债券受托管理人/独家簿记管理人
银亿股份：2016年面向合格投资者公开发行公司债券（第三期）募集说明书,2016-08-17,1-1-1 股票简称：银亿股份 股票代码：000981 银亿房地产股份有限公司 （注册地址：中国甘肃省兰州市高新技术开发区张苏滩 573号八楼） 2016年面向合格投资者 公开发行公司债券（第三期） 
16桂资03：公开发行2016年公司债券（第二期）募集说明书,2016-08-09,广西投资集团有限公司 （住所：广西壮族自治区南宁市青秀区民族大道 109号广西投资大厦） 公开发行2016年公司债券（第二期） 募集说明书 （面向公众投资者） 牵头主承销商 （住所：广西壮族自治区桂林
东方园林：2016年面向合格投资者公开发行公司债券（第二期）募集说明书,2016-08-08,北京东方园林生态股份有限公司 （住所：北京市朝阳区酒仙桥北路甲10号院104号楼6层601号） 2016年面向合格投资者公开发行公司债券 （第二期） 募集说明书 主承销商/债券受托管理人 （住所：深圳
16桂资04：公开发行2016年公司债券（第二期）募集说明书,2016-08-09,广西投资集团有限公司 （住所：广西壮族自治区南宁市青秀区民族大道 109号广西投资大厦） 公开发行2016年公司债券（第二期） 募集说明书 （面向公众投资者） 牵头主承销商 （住所：广西壮族自治区桂林
滨江集团：2016年面向合格投资者公开发行公司债券（第一期）募集说明书,2016-08-08,"股票简称：滨江集团 股票代码：002244 杭州滨江房产集团股份有限公司 Hangzhou Binjiang Real Estate Group Co., Ltd. 浙江省杭州市庆春东路 38 号 2"
新文化：2016年公开发行公司债券（第一期）募集说明书,2016-08-03,股票简称：新文化 股票代码：300336 上海新文化传媒集团股份有限公司 （住所：上海市虹口区东江湾路 444号北区 238 室） 2016 年公开发行公司债券（第一期） 募集说明书 （面向合格投资者
16株国投：2016年公开发行公司债券（面向合格投资者）募集说明书,2016-08-02,株洲市国有资产投资控股集团有限公司 2016 年面向合格投资者公开发行公司债券募集说明书 株洲市国有资产投资控股集团有限公司 2016 年公开发行公司债券 （面向合格投资者） 募集说明书 （株洲市天元
兴蓉环境：2016年公开发行公司债券（第一期）募集说明书,2016-07-26,成都市兴蓉环境股份有限公司 2016 年公开发行公司债券（第一期）募集说明书 1-1-1 声 明 本募集说明书依据《中华人民共和国公司法》、《中华人民共和国证券法》、 《公司债券发行试点办法》、《公开
潮宏基：2016年面向合格投资者公开发行公司债券（第一期）募集说明书,2016-07-26,广东潮宏基实业股份有限公司 （住所：广东省汕头市龙湖区龙新工业区龙新五街四号 1-4 楼） 2016 年面向合格投资者 公开发行公司债券（第一期） 募集说明书 主承销商、受托管理人、簿记管理人 （住所
奋达科技：2016年面向合格投资者公开发行公司债券（第一期）募集说明书,2016-07-21,深圳市奋达科技股份有限公司 2016 年面向合格投资者公开发行公司债券（第一期）募集说明书 2 声明 本募集说明书依据《中华人民共和国公司法》、《中华人民共和国证券法》、 《公司债券发行与交易管理办法
沃尔核材：2016年面向合格投资者公开发行公司债券（第一期）募集说明书,2016-07-20,"股票代码：002130 股票简称：沃尔核材 深圳市沃尔核材股份有限公司 Shenzhen Woer Heat-shrinkable Material Co., Ltd （广东省深圳市坪山新区兰景北路沃"
中南建设：2016年面向合格投资者公开发行公司债券（第二期）募集说明书,2016-07-23,股票简称：中南建设 股票代码：000961 江苏中南建设集团股份有限公司 住所：江苏省海门市常乐镇 2016 年面向合格投资者 公开发行公司债券（第二期） 募集说明书 牵头主承销商/簿记管理人/债券受
银亿股份：2016年面向合格投资者公开发行公司债券（第二期）募集说明书,2016-07-07,1-1-1 股票简称：银亿股份 股票代码：000981 银亿房地产股份有限公司 （注册地址：中国甘肃省兰州市高新技术开发区张苏滩 573号八楼） 2016年面向合格投资者 公开发行公司债券（第二期） 
光线传媒：公开发行2016年公司债券（第一期）募集说明书,2016-07-06,股票简称：光线传媒 股票代码：300251 北京光线传媒股份有限公司 （住所：北京市东城区和平里东街 11 号 37 号楼 11105 号） 公开发行 2016 年公司债券（第一期） 募集说明书 （面
TCL 集团：2016年面向合格投资者公开发行公司债券（第二期）募集说明书,2016-07-05,TCL 集团股份有限公司 公司债券募集说明书 股票简称：TCL 集团 股票代码：000100.SZ TCL集团股份有限公司 （住所：广东省惠州市仲恺高新技术产业开发区十九号小区） 2016 年面向合格
新兴铸管：2016年面向合格投资者公开发行公司债券（第一期）募集说明书,2016-06-28,新兴铸管股份有限公司 （住所：河北省邯郸市武安市磁山镇上洛阳村北） 2016 年面向合格投资者 公开发行公司债券（第一期） 募集说明书 主承销商/簿记管理人/债券受托管理人 光大证券股份有限公司 （住
力合股份：2016年面向合格投资者公开发行公司债券之募集说明书,2016-06-23,力合股份有限公司 公开发行公司债券募集说明书 力合股份有限公司 （住所：广东省珠海市香洲区国家高新区前湾二路 2号总部基地一期 B栋 5楼） 2016年面向合格投资者公开发行公司债券 之募集说明书 主
银亿股份：2016年面向合格投资者公开发行公司债券（第一期）募集说明书,2016-06-17,1-1-1 股票简称：银亿股份 股票代码：000981 银亿房地产股份有限公司 （注册地址：中国甘肃省兰州市高新技术开发区张苏滩 573号八楼） 2016年面向合格投资者 公开发行公司债券（第一期） 
掌趣科技：2016年面向合格投资者公开发行公司债券（第一期）募集说明书,2016-05-23,2 声明 本募集说明书依据《中华人民共和国公司法》、《中华人民共和国证券法》、 《公司债券发行与交易管理办法》、《公开发行证券的公司信息披露内容与格式 准则第 23号——公开发行公司债券募集说明书（2
华西股份：2016年公开发行公司债券（第二期）募集说明书,2016-05-12,股票简称：华西股份 股票代码：000936 江苏华西村股份有限公司 （住所：江苏省江阴市华西村南苑宾馆 9号楼） 2016 年公开发行公司债券（第二期） 募集说明书 （面向合格投资者） 主承销商： （
申万宏源：2016年面向合格投资者公开发行公司债券（第一期）募集说明书,2016-04-22,股票简称：申万宏源股票代码：000166 声明 本募集说明书依据《中华人民共和国公司法》、《中华人民共和国证券法》、 《公司债券发行与交易管理办法》、《公开发行证券的公司信息披露内容与格式准 则第23
南都电源：2016年面向合格投资者公开发行公司债券（第一期）募集说明书,2016-04-18,股票简称：南都电源 股票代码：300068 浙江南都电源动力股份有限公司 （注册地点：浙江省临安市青山湖街道景观大道 72 号） 2016年面向合格投资者 公开发行公司债券（第一期）募集说 明书 主承
爱施德：公开发行2015年公司债券（第一期）募集说明书,2015-11-11,"股票简称：爱施德 股票代码：002416 深圳市爱施德股份有限公司 Shenzhen Aisidi Co., Ltd. (广东省深圳市福田区泰然大道东泰然劲松大厦20F) 公开发行2014年公司债券("
东方园林：2016年面向合格投资者公开发行公司债券（第一期）募集说明书,2016-04-14,北京东方园林生态股份有限公司 （住所：北京市朝阳区酒仙桥北路甲10号院104号楼6层601号） 2016年面向合格投资者 公开发行公司债券（第一期） 募集说明书 主承销商/债券受托管理人 （住所：深圳
华侨城Ａ：2016年面向合格投资者公开发行公司债券（第一期）募集说明书,2016-04-11,深圳华侨城股份有限公司 2016年面向合格投资者公开发行公司债券（第一期）募集说明书 1-1-1 声明 本募集说明书依据《中华人民共和国公司法》、《中华人民共和国证券法》、 《公司债券发行与交易管理办
云南白药：公开发行2016年公司债券（第一期）募集说明书,2016-04-06,股票简称：云南白药 股票代码：000538 云南白药集团股份有限公司 （昆明市呈贡区云南白药街 3686号） 公开发行 2016 年公司债券（第一期） 募集说明书 牵头主承销商（受托管理人） 保荐人（
